what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100705266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100708148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100715440
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1643100715507
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1643100731326
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1643100731378
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1643100738115
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1643100740970
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1643100741006
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1643100745497
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1643100745531
error,log,,,"Some sites could not be found.  See the error log for more detail.",1643100748105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100748136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100759248
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1643100761980
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1643100764737
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1643100764800
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1643100770555
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1643100770575
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1643100774506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100774806
error,log,,,"Provisioning exception",1643100777099
error,log,,,"Provisioning exception",1643100779359
error,log,,,"Provisioning exception",1643100779359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100781526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1643100781546
error,log,,,"Provisioning exception",1643100781986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100783956
error,log,,,"Some sites could not be found.  See the error log for more detail.",1643100788487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100791366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643100796686
